bn_sentence,bn_voice,en_sentence,en_voice,gu_sentence,gu_voice,hi_sentence,hi_voice,kn_sentence,kn_voice,ml_sentence,ml_voice,mr_sentence,mr_voice,ta_sentence,ta_voice,te_sentence,te_voice,ur_sentence,ur_voice,as_sentence,as_voice,or_sentence,or_voice
আপনি একটি loan ণের জন্য যোগ্য।,../data/bn/bn_voicedata/1.mp3,You are eligible for a loan.,../data/en/en_voicedata/1.mp3,તમે લોન માટે પાત્ર છો.,../data/gu/gu_voicedata/1.mp3,आप ऋण के लिए पात्र हैं।,../data/hi/hi_voicedata/1.mp3,ನೀವು ಸಾಲಕ್ಕೆ ಅರ್ಹರಾಗಿದ್ದೀರಿ.,../data/kn/kn_voicedata/1.mp3,നിങ്ങൾക്ക് ഒരു വായ്പയ്ക്ക് അർഹതയുണ്ട്.,../data/ml/ml_voicedata/1.mp3,आपण कर्जासाठी पात्र आहात.,../data/mr/mr_voicedata/1.mp3,நீங்கள் கடனுக்கு தகுதியானவர்.,../data/ta/ta_voicedata/1.mp3,మీరు రుణానికి అర్హులు.,../data/te/te_voicedata/1.mp3,آپ قرض کے اہل ہیں۔,../data/ur/ur_voicedata/1.mp3,আপুনি ঋণৰ বাবে যোগ্য।,../data/as/as_voicedata/1.mp3,ଆପଣ ଏକ loan ଣ ପାଇଁ ଯୋଗ୍ୟ ଅଟନ୍ତି |,../data/or/or_voicedata/1.mp3
আপনি আপনার loan ণের প্রথম ay ণ পরিশোধ শেষ করেছেন।,../data/bn/bn_voicedata/2.mp3,You have completed your first repayment of the loan.,../data/en/en_voicedata/2.mp3,તમે લોનની પ્રથમ ચુકવણી પૂર્ણ કરી છે.,../data/gu/gu_voicedata/2.mp3,आपने ऋण का अपना पहला पुनर्भुगतान पूरा कर लिया है।,../data/hi/hi_voicedata/2.mp3,ನೀವು ಸಾಲದ ಮೊದಲ ಮರುಪಾವತಿಯನ್ನು ಪೂರ್ಣಗೊಳಿಸಿದ್ದೀರಿ.,../data/kn/kn_voicedata/2.mp3,നിങ്ങളുടെ ആദ്യ തിരിച്ചടവ് നിങ്ങൾ പൂർത്തിയാക്കി.,../data/ml/ml_voicedata/2.mp3,आपण कर्जाची प्रथम परतफेड पूर्ण केली आहे.,../data/mr/mr_voicedata/2.mp3,கடனை உங்கள் முதல் திருப்பிச் செலுத்துவதை முடித்துள்ளீர்கள்.,../data/ta/ta_voicedata/2.mp3,మీరు మీ మొదటి రుణాన్ని తిరిగి చెల్లించారు.,../data/te/te_voicedata/2.mp3,آپ نے قرض کی اپنی پہلی ادائیگی مکمل کرلی ہے۔,../data/ur/ur_voicedata/2.mp3,আপুনি ঋণৰ প্ৰথম পৰিশোধ সম্পূৰ্ণ কৰিছে।,../data/as/as_voicedata/2.mp3,ଆପଣ loan ଣର ପ୍ରଥମ ପରିଶୋଧ ସମାପ୍ତ କରିଛନ୍ତି |,../data/or/or_voicedata/2.mp3
আপনার loan ণের আবেদন সফলভাবে শুরু করা হয়েছে।,../data/bn/bn_voicedata/3.mp3,Your loan application has been initiated successfully.,../data/en/en_voicedata/3.mp3,તમારી લોન અરજી સફળતાપૂર્વક શરૂ કરવામાં આવી છે.,../data/gu/gu_voicedata/3.mp3,आपका ऋण आवेदन सफलतापूर्वक शुरू किया गया है।,../data/hi/hi_voicedata/3.mp3,ನಿಮ್ಮ ಸಾಲದ ಅರ್ಜಿಯನ್ನು ಯಶಸ್ವಿಯಾಗಿ ಪ್ರಾರಂಭಿಸಲಾಗಿದೆ.,../data/kn/kn_voicedata/3.mp3,നിങ്ങളുടെ വായ്പാ അപേക്ഷ വിജയകരമായി ആരംഭിച്ചു.,../data/ml/ml_voicedata/3.mp3,आपला कर्ज अर्ज यशस्वीरित्या आरंभ केला गेला आहे.,../data/mr/mr_voicedata/3.mp3,உங்கள் கடன் விண்ணப்பம் வெற்றிகரமாக தொடங்கப்பட்டுள்ளது.,../data/ta/ta_voicedata/3.mp3,మీ రుణ దరఖాస్తు విజయవంతంగా ప్రారంభించబడింది.,../data/te/te_voicedata/3.mp3,آپ کے قرض کی درخواست کامیابی کے ساتھ شروع کی گئی ہے۔,../data/ur/ur_voicedata/3.mp3,আপোনাৰ ঋণৰ আবেদন সফলতাৰে আৰম্ভ কৰা হৈছে।,../data/as/as_voicedata/3.mp3,ଆପଣଙ୍କର loan ଣ ପ୍ରୟୋଗ ସଫଳତାର ସହିତ ଆରମ୍ଭ ହୋଇଛି |,../data/or/or_voicedata/3.mp3
ওটিপি এসিগন আপনার loan ণ চুক্তির জন্য মুলতুবি রয়েছে।,../data/bn/bn_voicedata/4.mp3,OTP esign is pending for your loan agreement.,../data/en/en_voicedata/4.mp3,તમારા લોન કરાર માટે ઓટીપી ઇસિગન બાકી છે.,../data/gu/gu_voicedata/4.mp3,OTP Esign आपके ऋण समझौते के लिए लंबित है।,../data/hi/hi_voicedata/4.mp3,ನಿಮ್ಮ ಸಾಲ ಒಪ್ಪಂದಕ್ಕಾಗಿ ಒಟಿಪಿ ಎಸಿನ್ ಬಾಕಿ ಉಳಿದಿದೆ.,../data/kn/kn_voicedata/4.mp3,നിങ്ങളുടെ വായ്പാ കരാറിനായി OTP എസ്നീയർ ശേഷിക്കുന്നു.,../data/ml/ml_voicedata/4.mp3,ओटीपी एएसआयएन आपल्या कर्जाच्या करारासाठी प्रलंबित आहे.,../data/mr/mr_voicedata/4.mp3,உங்கள் கடன் ஒப்பந்தத்திற்கு OTP ESIGN நிலுவையில் உள்ளது.,../data/ta/ta_voicedata/4.mp3,మీ రుణ ఒప్పందం కోసం OTP ESIGN పెండింగ్‌లో ఉంది.,../data/te/te_voicedata/4.mp3,آپ کے قرض کے معاہدے کے لئے او ٹی پی ایسائن زیر التوا ہے۔,../data/ur/ur_voicedata/4.mp3,আপোনাৰ ঋণ চুক্তিৰ বাবে OTP Esign বাকী আছে।,../data/as/as_voicedata/4.mp3,OTP ESIGM ଆପଣଙ୍କ loan ଣ ଚୁକ୍ତି ପାଇଁ ବିଚାରାଧୀନ ଅଛି |,../data/or/or_voicedata/4.mp3
আমরা বর্তমানে আপনার loan ণ পিডিএফ ডকুমেন্ট তৈরি করছি।,../data/bn/bn_voicedata/5.mp3,We are currently creating your loan PDF document.,../data/en/en_voicedata/5.mp3,અમે હાલમાં તમારા લોન પીડીએફ દસ્તાવેજ બનાવી રહ્યા છીએ.,../data/gu/gu_voicedata/5.mp3,हम वर्तमान में आपका ऋण पीडीएफ दस्तावेज़ बना रहे हैं।,../data/hi/hi_voicedata/5.mp3,ನಾವು ಪ್ರಸ್ತುತ ನಿಮ್ಮ ಸಾಲ ಪಿಡಿಎಫ್ ಡಾಕ್ಯುಮೆಂಟ್ ಅನ್ನು ರಚಿಸುತ್ತಿದ್ದೇವೆ.,../data/kn/kn_voicedata/5.mp3,ഞങ്ങൾ നിലവിൽ നിങ്ങളുടെ വായ്പ PDF പ്രമാണം സൃഷ്ടിക്കുന്നു.,../data/ml/ml_voicedata/5.mp3,आम्ही सध्या आपले कर्ज पीडीएफ दस्तऐवज तयार करीत आहोत.,../data/mr/mr_voicedata/5.mp3,நாங்கள் தற்போது உங்கள் கடன் PDF ஆவணத்தை உருவாக்குகிறோம்.,../data/ta/ta_voicedata/5.mp3,మేము ప్రస్తుతం మీ రుణ పిడిఎఫ్ పత్రాన్ని సృష్టిస్తున్నాము.,../data/te/te_voicedata/5.mp3,ہم فی الحال آپ کا لون پی ڈی ایف دستاویز بنا رہے ہیں۔,../data/ur/ur_voicedata/5.mp3,আমি বৰ্তমান আপোনাৰ ঋণ PDF নথিপত্ৰ তৈয়াৰ কৰি আছো।,../data/as/as_voicedata/5.mp3,ଆମେ ବର୍ତ୍ତମାନ ଆପଣଙ୍କର loan ଣ PDF ଡକ୍ୟୁମେଣ୍ଟ୍ ସୃଷ୍ଟି କରୁଛୁ |,../data/or/or_voicedata/5.mp3
Loan ণের শর্তাদি গৃহীত হয়েছে। দয়া করে পরবর্তী পদক্ষেপে এগিয়ে যান।,../data/bn/bn_voicedata/6.mp3,Loan terms have been accepted. Please proceed to the next step.,../data/en/en_voicedata/6.mp3,લોનની શરતો સ્વીકારવામાં આવી છે. કૃપા કરીને આગલા પગલા પર આગળ વધો.,../data/gu/gu_voicedata/6.mp3,ऋण की शर्तों को स्वीकार कर लिया गया है। कृपया अगले चरण पर आगे बढ़ें।,../data/hi/hi_voicedata/6.mp3,ಸಾಲದ ನಿಯಮಗಳನ್ನು ಸ್ವೀಕರಿಸಲಾಗಿದೆ. ದಯವಿಟ್ಟು ಮುಂದಿನ ಹಂತಕ್ಕೆ ಮುಂದುವರಿಯಿರಿ.,../data/kn/kn_voicedata/6.mp3,വായ്പ നിബന്ധനകൾ സ്വീകരിച്ചു. അടുത്ത ഘട്ടത്തിലേക്ക് പോകുക.,../data/ml/ml_voicedata/6.mp3,कर्ज अटी स्वीकारल्या गेल्या आहेत. कृपया पुढील चरणात जा.,../data/mr/mr_voicedata/6.mp3,கடன் விதிமுறைகள் ஏற்றுக்கொள்ளப்பட்டுள்ளன. தயவுசெய்து அடுத்த கட்டத்திற்குச் செல்லவும்.,../data/ta/ta_voicedata/6.mp3,రుణ నిబంధనలు అంగీకరించబడ్డాయి. దయచేసి తదుపరి దశకు వెళ్లండి.,../data/te/te_voicedata/6.mp3,قرض کی شرائط قبول کی گئیں۔ براہ کرم اگلے مرحلے پر آگے بڑھیں۔,../data/ur/ur_voicedata/6.mp3,ঋণৰ চৰ্তসমূহ গ্ৰহণ কৰা হৈছে। অনুগ্ৰহ কৰি পৰৱৰ্তী পদক্ষেপলৈ আগবাঢ়ক।,../data/as/as_voicedata/6.mp3,Loan ଣ ସର୍ତ୍ତଗୁଡିକ ଗ୍ରହଣ କରାଯାଇଛି | ଦୟାକରି ପରବର୍ତ୍ତୀ ପଦକ୍ଷେପକୁ ଯାଆନ୍ତୁ |,../data/or/or_voicedata/6.mp3
আপনার ইএনএচ নিবন্ধকরণ মুলতুবি রয়েছে। দয়া করে এগিয়ে যাওয়ার জন্য এটি সম্পূর্ণ করুন।,../data/bn/bn_voicedata/7.mp3,Your Enach registration is pending. Kindly complete it to proceed.,../data/en/en_voicedata/7.mp3,તમારી એએનએસીએચ નોંધણી બાકી છે. કૃપા કરીને આગળ વધવા માટે તેને પૂર્ણ કરો.,../data/gu/gu_voicedata/7.mp3,आपका ENACH पंजीकरण लंबित है। कृपया इसे आगे बढ़ाने के लिए पूरा करें।,../data/hi/hi_voicedata/7.mp3,ನಿಮ್ಮ ಎನಾಚ್ ನೋಂದಣಿ ಬಾಕಿ ಉಳಿದಿದೆ. ಮುಂದುವರಿಯಲು ದಯವಿಟ್ಟು ಅದನ್ನು ಪೂರ್ಣಗೊಳಿಸಿ.,../data/kn/kn_voicedata/7.mp3,നിങ്ങളുടെ ENACH രജിസ്ട്രേഷൻ ശേഷിക്കുന്നു. തുടരുന്നതിന് ദയവായി അത് പൂർത്തിയാക്കുക.,../data/ml/ml_voicedata/7.mp3,आपली एनाच नोंदणी प्रलंबित आहे. पुढे जाण्यासाठी कृपया ते पूर्ण करा.,../data/mr/mr_voicedata/7.mp3,உங்கள் எனாக் பதிவு நிலுவையில் உள்ளது. தொடர தயவுசெய்து அதை முடிக்கவும்.,../data/ta/ta_voicedata/7.mp3,మీ ENACH రిజిస్ట్రేషన్ పెండింగ్‌లో ఉంది. దయచేసి దాన్ని పూర్తి చేయడానికి పూర్తి చేయండి.,../data/te/te_voicedata/7.mp3,آپ کی ENACH رجسٹریشن زیر التوا ہے۔ برائے مہربانی اسے آگے بڑھنے کے لئے مکمل کریں۔,../data/ur/ur_voicedata/7.mp3,আপোনাৰ enach পঞ্জীয়ন বাকী আছে। আগবাঢ়ি যাবলৈ দয়া কৰি সম্পূৰ্ণ কৰক।,../data/as/as_voicedata/7.mp3,ତୁମର ଏନଚ୍ ପଞ୍ଜୀକରଣ ବିଚାରାଧୀନ ଅଛି | ଦୟାକରି ଅଗ୍ରଗତି କରିବାକୁ ଦୟାକରି ଏହାକୁ ସମ୍ପୂର୍ଣ୍ଣ କରନ୍ତୁ |,../data/or/or_voicedata/7.mp3
গ্যারান্টর স্বাক্ষর আপনার loan ণ আবেদনের জন্য মুলতুবি রয়েছে।,../data/bn/bn_voicedata/8.mp3,Guarantor signature is pending for your loan application.,../data/en/en_voicedata/8.mp3,તમારી લોન એપ્લિકેશન માટે ગેરેંટર સહી બાકી છે.,../data/gu/gu_voicedata/8.mp3,गारंटर हस्ताक्षर आपके ऋण आवेदन के लिए लंबित है।,../data/hi/hi_voicedata/8.mp3,ನಿಮ್ಮ ಸಾಲದ ಅರ್ಜಿಗಾಗಿ ಖಾತರಿ ಸಹಿ ಬಾಕಿ ಇದೆ.,../data/kn/kn_voicedata/8.mp3,ഗ്യാരണ്ടർ ഒപ്പ് നിങ്ങളുടെ വായ്പാ അപേക്ഷയ്ക്കായി ശേഷിക്കുന്നു.,../data/ml/ml_voicedata/8.mp3,आपल्या कर्जाच्या अर्जासाठी गॅरंटर स्वाक्षरी प्रलंबित आहे.,../data/mr/mr_voicedata/8.mp3,உங்கள் கடன் விண்ணப்பத்திற்கு உத்தரவாத கையொப்பம் நிலுவையில் உள்ளது.,../data/ta/ta_voicedata/8.mp3,మీ రుణ దరఖాస్తు కోసం హామీ సంతకం పెండింగ్‌లో ఉంది.,../data/te/te_voicedata/8.mp3,آپ کے قرض کی درخواست کے لئے گارنٹر کے دستخط زیر التوا ہیں۔,../data/ur/ur_voicedata/8.mp3,আপোনাৰ ঋণৰ আবেদনৰ বাবে নিশ্চয়তাদাতাৰ স্বাক্ষৰ বাকী আছে।,../data/as/as_voicedata/8.mp3,ଗ୍ୟାରେଣ୍ଟର୍ ଦସ୍ତଖତ ଆପଣଙ୍କ loan ଣ ଆବେଦନ ପାଇଁ ବିଚାରାଧୀନ ଅଛି |,../data/or/or_voicedata/8.mp3
আপনার নথিগুলির ম্যানুয়াল যাচাইকরণ মুলতুবি রয়েছে।,../data/bn/bn_voicedata/9.mp3,Manual verification of your documents is pending.,../data/en/en_voicedata/9.mp3,તમારા દસ્તાવેજોની મેન્યુઅલ ચકાસણી બાકી છે.,../data/gu/gu_voicedata/9.mp3,आपके दस्तावेजों का मैनुअल सत्यापन लंबित है।,../data/hi/hi_voicedata/9.mp3,ನಿಮ್ಮ ದಾಖಲೆಗಳ ಹಸ್ತಚಾಲಿತ ಪರಿಶೀಲನೆ ಬಾಕಿ ಉಳಿದಿದೆ.,../data/kn/kn_voicedata/9.mp3,നിങ്ങളുടെ പ്രമാണങ്ങളുടെ സ്വമേധയാലുള്ള പരിശോധന തീർപ്പുകൽപ്പിച്ചിട്ടില്ല.,../data/ml/ml_voicedata/9.mp3,आपल्या कागदपत्रांची मॅन्युअल सत्यापन प्रलंबित आहे.,../data/mr/mr_voicedata/9.mp3,உங்கள் ஆவணங்களின் கையேடு சரிபார்ப்பு நிலுவையில் உள்ளது.,../data/ta/ta_voicedata/9.mp3,మీ పత్రాల మాన్యువల్ ధృవీకరణ పెండింగ్‌లో ఉంది.,../data/te/te_voicedata/9.mp3,آپ کے دستاویزات کی دستی توثیق زیر التوا ہے۔,../data/ur/ur_voicedata/9.mp3,আপোনাৰ নথিপত্ৰসমূহৰ হাতৰ পৰীক্ষণ বাকী আছে।,../data/as/as_voicedata/9.mp3,ଆପଣଙ୍କର ଡକ୍ୟୁମେଣ୍ଟଗୁଡିକର ମାନୁଆଲ୍ ଯାଞ୍ଚ ବିଚାରାଧୀନ ଅଛି |,../data/or/or_voicedata/9.mp3
অংশীদার অনুমোদন আপনার loan ণের অনুরোধের জন্য মুলতুবি রয়েছে।,../data/bn/bn_voicedata/10.mp3,Partner approval is pending for your loan request.,../data/en/en_voicedata/10.mp3,તમારી લોન વિનંતી માટે ભાગીદારની મંજૂરી બાકી છે.,../data/gu/gu_voicedata/10.mp3,आपके ऋण अनुरोध के लिए भागीदार अनुमोदन लंबित है।,../data/hi/hi_voicedata/10.mp3,ನಿಮ್ಮ ಸಾಲದ ಕೋರಿಕೆಗೆ ಪಾಲುದಾರರ ಅನುಮೋದನೆ ಬಾಕಿ ಇದೆ.,../data/kn/kn_voicedata/10.mp3,പങ്കാളിയുടെ അംഗീകാരം നിങ്ങളുടെ വായ്പാ അഭ്യർത്ഥനയ്ക്കായി ശേഷിക്കുന്നു.,../data/ml/ml_voicedata/10.mp3,आपल्या कर्जाच्या विनंतीसाठी भागीदार मान्यता प्रलंबित आहे.,../data/mr/mr_voicedata/10.mp3,உங்கள் கடன் கோரிக்கைக்கு கூட்டாளர் ஒப்புதல் நிலுவையில் உள்ளது.,../data/ta/ta_voicedata/10.mp3,మీ రుణ అభ్యర్థన కోసం భాగస్వామి ఆమోదం పెండింగ్‌లో ఉంది.,../data/te/te_voicedata/10.mp3,آپ کے قرض کی درخواست کے لئے پارٹنر کی منظوری زیر التوا ہے۔,../data/ur/ur_voicedata/10.mp3,আপোনাৰ ঋণৰ অনুৰোধৰ বাবে অংশীদাৰৰ অনুমোদন বাকী আছে।,../data/as/as_voicedata/10.mp3,ଆପଣଙ୍କ an ଣ ଅନୁରୋଧ ପାଇଁ ସହଭାଗୀ ଅନୁମୋଦନ ବିନା ବିଚାରାଧୀନ ଅଛି |,../data/or/or_voicedata/10.mp3
